Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/pagead/viewthroughconversion/677475025/-602,50,93,83,97,100,536,68,536,6.000%,.39306,1.15,0.43
/tr/-603,50,66,57,95,98,193,44,193,6.000%,.39305,0.19,0.48
/pagead/1p-user-list/677475025/-606,50,82,69,89,95,584,60,584,6.000%,.39293,0.24,0.57
/metrics/ag/g/c?v=2&tid=G-RYR06PDVP5&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653&_p=1775659966335&gcd=13l3l3l3l1l1&npa=0&dma=0&gdid=dY2E1Nz.dNzQzZD&ecid=1478158322&_eu=EEAAAGQ&_prs=ok&_uip=%3A%3A&ae=a&cid=1211979162.1775659790&ec_mode=a&fp=1&frm=0&ir=1&lps=1&pscdl=noapi&sr=1536x864&ul=en-us&ur=BD-C&_gsid=abYe5mymzGIvZ3PqIdHQSAKcuSIKPoYVlg&_s=2&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&dr=https%3A%2F%2Fwww.applegadgetsbd.com%2F&sid=1775659790&sct=1&seg=1&dt=Starlink%20Price%20in%20Bangladesh%202026&en=page_view&_c=1&gap.gtb=3&gap.gtbd=21&_et=3884&tfd=5571-608,50,118,79,129,147,1155,66,1155,28.000%,.38960,0.33,0.46
/pagead/1p-user-list/677475025/-605,50,119,105,127,137,579,95,579,70.000%,.38942,0.24,0.57
/metrics/g/measurement/conversion?random=1775659970922&cv=11&tid=G-RYR06PDVP5&fst=1775659970922&fmt=8&en=page_view&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&ref=https%3A%2F%2Fwww.google.com%2F&gacid=1211979162.1775659790&ae=a&frm=0&tiba=Starlink%20Price%20in%20Bangladesh%202026&gdid=dY2E1Nz&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA-607,50,238,209,312,362,624,183,624,100.000%,.38785,1.73,1.06
/ccm/collect?frm=0&ae=g&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Starlink%20Price%20in%20Bangladesh%202026&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659970960&tfd=5596-610,50,112,102,133,149,199,90,199,60.000%,.38817,0.21,0.41
/rmkt/collect/677475025/?random=1775659970949&cv=11&fst=1775659970949&fmt=8&bg=ffffff&guid=ON&async=1&en=page_view&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Starlink%20Price%20in%20Bangladesh%202026&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA&data=event%3Dpage_view%3Bgoogle_business_vertical%3Dretail%3Bid%3D11027%2C12000%2C12001%2C12003%2C12004%2C12002%2C11535&gap.gtb=3&gap.gtbd=21&gcp=5-609,50,107,104,119,123,154,91,154,66.000%,.38817,0.23,0.47
/pagead/viewthroughconversion/677475025/-611,50,95,82,112,125,420,73,420,24.000%,.38840,1.14,0.42
/measurement/1p-conversion/-612,50,140,118,278,297,316,104,316,100.000%,.38831,0.23,0.64
/cdn-cgi/rum?-615,50,90,66,116,133,736,53,736,14.000%,.38792,0.27,0.36
/pagead/1p-user-list/677475025/-614,50,71,68,81,84,149,61,149,2.000%,.38819,0.24,0.56
/pagead/1p-user-list/677475025/-613,50,113,107,144,147,186,93,186,76.000%,.38808,0.24,0.56
/tr/-616,50,64,55,94,99,134,44,134,4.000%,.38816,0.18,0.46
/pagead/viewthroughconversion/677475025/-619,50,86,81,98,118,164,71,164,10.000%,.38826,1.13,0.43
/metrics/ag/g/c?v=2&tid=G-RYR06PDVP5&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653&_p=1775659966335&gcd=13l3l3l3l1l1&npa=0&dma=0&gdid=dY2E1Nz.dNzQzZD&ecid=1478158322&_eu=EEAAAGQ&_prs=ok&_uip=%3A%3A&ae=a&cid=1211979162.1775659790&ec_mode=a&fp=1&frm=0&ir=1&lps=1&pscdl=noapi&sr=1536x864&ul=en-us&ur=BD-C&_gsid=abYe5mymzGIvZ3PqIdHQSAKcuSIKPoYVlg&_s=3&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&dr=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fstarlink&sid=1775659790&sct=1&seg=1&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&en=page_view&_c=1&gap.gtb=3&gap.gtbd=21&_et=1596&tfd=7177-618,50,108,81,101,117,1001,64,1001,12.000%,.38718,0.33,0.47
/rmkt/collect/677475025/?random=1775659972551&cv=11&fst=1775659972551&fmt=8&bg=ffffff&guid=ON&async=1&en=page_view&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA&data=event%3Dpage_view%3Bgoogle_business_vertical%3Dretail%3Bid%3D11027%2C12000%2C12001%2C12003%2C12004%2C12002%2C11535&gap.gtb=3&gap.gtbd=21&gcp=5-621,50,102,98,118,123,158,91,158,32.000%,.38712,0.23,0.47
/metrics/g/measurement/conversion?random=1775659972531&cv=11&tid=G-RYR06PDVP5&fst=1775659972531&fmt=8&en=page_view&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&gacid=1211979162.1775659790&ae=a&frm=0&tiba=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&gdid=dY2E1Nz&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA-617,50,246,215,370,390,636,183,636,100.000%,.38555,1.74,1.07
/ccm/collect?frm=0&ae=g&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659972560&tfd=7195-620,50,108,100,114,120,416,88,416,42.000%,.38595,0.21,0.42
/pagead/1p-user-list/677475025/-623,50,74,68,90,106,143,60,143,10.000%,.38598,0.24,0.56
/pagead/1p-user-list/677475025/-622,50,113,107,132,138,168,95,168,80.000%,.38586,0.24,0.56
/measurement/1p-conversion/-624,50,135,119,142,281,328,105,328,100.000%,.38570,0.22,0.64
/category/mobile-phone-625,50,112,84,143,176,596,67,596,28.000%,.38424,5.21,0.23
/_next/image-634,50,108,76,152,179,604,58,604,24.000%,.38273,3.37,0.23
/_next/image-630,50,122,83,127,216,1008,57,1008,24.000%,.38000,4.18,0.23
/rmkt/collect/677475025/?random=1775659973885&cv=11&fst=1775659973885&fmt=8&bg=ffffff&guid=ON&async=1&en=view_item_list&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Latest%20Mobile%20Phone%20Price%20in%20Bangladesh%202026&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA&data=event%3Dview_item_list%3Bgoogle_business_vertical%3Dretail%3Bid%3D14594%2C10279%2C8678%2C10487%2C10287%2C14814%2C11822%2C10753%2C8679%2C9716%2C10488%2C15520%2C13950%2C11639%2C15522%2C11511%2C11640%2C11654&gap.gtb=3&gap.gtbd=21&gcp=5-627,50,107,102,125,129,154,91,154,52.000%,.38005,0.22,0.50
/_next/image-629,50,210,105,224,248,3356,73,3356,52.000%,.37096,23.02,0.22
/_next/image-632,50,122,77,147,214,1007,57,1007,22.000%,.36847,2.67,0.22
/_next/image-633,50,148,75,169,208,2241,58,2241,20.000%,.36627,3.58,0.22
/ccm/collect?frm=0&ae=g&en=view_item_list&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Latest%20Mobile%20Phone%20Price%20in%20Bangladesh%202026&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659973903&tfd=8539-628,50,118,100,122,136,513,90,513,48.000%,.36621,0.20,0.40
/tr/-635,50,72,62,103,125,214,45,214,12.000%,.36629,0.18,1.97
/-626,50,827,382,1505,3229,8230,338,8230,100.000%,.36548,0.35,0.89
/tr/-637,50,56,52,68,82,103,44,103,2.000%,.36623,0.17,0.44
/tr/-638,50,65,57,94,100,165,45,165,6.000%,.36620,0.17,0.70
/pagead/viewthroughconversion/677475025/-636,50,92,83,105,114,256,75,256,16.000%,.36567,1.09,0.44
/pagead/1p-user-list/677475025/-640,50,74,70,93,100,118,60,118,6.000%,.36564,0.22,0.57
/pagead/1p-user-list/677475025/-639,50,107,105,121,128,133,93,133,74.000%,.36554,0.22,0.57
/metrics/ag/g/c?v=2&tid=G-RYR06PDVP5&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653&_p=1775659966335&gcd=13l3l3l3l1l1&npa=0&dma=0&gdid=dY2E1Nz.dNzQzZD&ecid=1478158322&_eu=EEAAAGQ&_prs=ok&_uip=%3A%3A&ae=a&cid=1211979162.1775659790&ec_mode=a&fp=1&frm=0&ir=1&lps=1&pscdl=noapi&sr=1536x864&ul=en-us&ur=BD-C&_gsid=abYe5mymzGIvZ3PqIdHQSAKcuSIKPoYVlg&_s=4&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&dr=https%3A%2F%2Fwww.applegadgetsbd.com%2F&sid=1775659790&sct=1&seg=1&dt=Latest%20Mobile%20Phone%20Price%20in%20Bangladesh%202026&en=page_view&_c=1&gap.gtb=3&gap.gtbd=21&_et=2328&tfd=9517-642,50,172,84,144,233,1978,67,1978,34.000%,.36354,0.31,0.44
/_next/image-631,50,113,78,125,144,1060,60,1060,22.000%,.36094,3.50,0.22
/metrics/g/measurement/conversion?random=1775659974866&cv=11&tid=G-RYR06PDVP5&fst=1775659974866&fmt=8&en=page_view&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&ref=https%3A%2F%2Fwww.google.com%2F&gacid=1211979162.1775659790&ae=a&frm=0&tiba=Latest%20Mobile%20Phone%20Price%20in%20Bangladesh%202026&gdid=dY2E1Nz&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA-641,50,293,214,272,376,2872,184,2872,100.000%,.35855,1.62,1.00
/ccm/collect?frm=0&ae=g&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Latest%20Mobile%20Phone%20Price%20in%20Bangladesh%202026&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659974902&tfd=9538-644,50,105,100,122,124,203,91,203,48.000%,.35862,0.20,0.39
/rmkt/collect/677475025/?random=1775659974893&cv=11&fst=1775659974893&fmt=8&bg=ffffff&guid=ON&async=1&en=page_view&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Latest%20Mobile%20Phone%20Price%20in%20Bangladesh%202026&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA&data=event%3Dpage_view%3Bgoogle_business_vertical%3Dretail%3Bid%3D14594%2C10279%2C8678%2C10487%2C10287%2C14814%2C11822%2C10753%2C8679%2C9716%2C10488%2C15520%2C13950%2C11639%2C15522%2C11511%2C11640%2C11654&gap.gtb=3&gap.gtbd=21&gcp=5-643,50,107,101,117,129,207,90,207,52.000%,.35835,0.21,0.47
/pagead/viewthroughconversion/677475025/-645,50,86,82,104,106,132,69,132,12.000%,.35839,1.07,0.42
/measurement/1p-conversion/-646,50,129,115,155,177,319,104,319,100.000%,.35844,0.21,0.60
/cdn-cgi/rum?-647,50,75,63,88,132,251,52,251,8.000%,.35837,0.25,0.33
/pagead/1p-user-list/677475025/-648,50,78,68,91,108,264,59,264,8.000%,.35786,0.22,0.55
/pagead/1p-user-list/677475025/-649,50,108,105,125,131,136,94,136,74.000%,.35787,0.22,0.55
/tr/-650,50,61,57,82,91,107,44,107,4.000%,.35803,0.17,0.44
/metrics/g/measurement/conversion?random=1775659976550&cv=11&tid=G-RYR06PDVP5&fst=1775659976550&fmt=8&en=page_view&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&gacid=1211979162.1775659790&ae=a&frm=0&tiba=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&gdid=dY2E1Nz&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA-651,50,266,201,393,548,997,181,997,100.000%,.35563,1.60,0.99
/metrics/ag/g/c?v=2&tid=G-RYR06PDVP5&gtm=45g92e6461v892913252za20kzb9245622653zd9245622653&_p=1775659966335&gcd=13l3l3l3l1l1&npa=0&dma=0&gdid=dY2E1Nz.dNzQzZD&ecid=1478158322&_eu=EEAAAGQ&_prs=ok&_uip=%3A%3A&ae=a&cid=1211979162.1775659790&ec_mode=a&fp=1&frm=0&ir=1&lps=1&pscdl=noapi&sr=1536x864&ul=en-us&ur=BD-C&_gsid=abYe5mymzGIvZ3PqIdHQSAKcuSIKPoYVlg&_s=5&tag_exp=0~115616985~115938466~115938469~116363097~116991816~117266402&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&dr=https%3A%2F%2Fwww.applegadgetsbd.com%2Fcategory%2Fmobile-phone&sid=1775659790&sct=1&seg=1&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&en=page_view&_c=1&gap.gtb=3&gap.gtbd=21&_et=1671&tfd=11248-652,50,106,77,153,210,425,63,425,22.000%,.35557,0.30,0.44
/pagead/viewthroughconversion/677475025/-653,50,88,85,102,107,125,71,125,12.000%,.35549,1.05,0.42
/ccm/collect?frm=0&ae=g&en=page_view&dr=www.google.com&dl=https%3A%2F%2Fwww.applegadgetsbd.com%2F&scrsrc=www.applegadgetsbd.com&lps=1&rnd=591902067.1775659966&dt=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&auid=1684116898.1775659789&navt=n&npa=0&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&_tu=CA&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&apve=1&apvf=f&gap.gtb=3&gap.gtbd=21&apvc=0&tids=AW-677475025&tid=AW-677475025&tft=1775659976636&tfd=11272-655,50,107,106,120,136,225,89,225,62.000%,.35513,0.20,0.39
/rmkt/collect/677475025/?random=1775659976621&cv=11&fst=1775659976621&fmt=8&bg=ffffff&guid=ON&async=1&en=page_view&gtm=45892e6461v892783814z89245622653za20kzb9245622653zd9245622653xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938469~116363097~116991816&u_w=1536&u_h=864&url=https%3A%2F%2Fwww.applegadgetsbd.com%2F&ref=https%3A%2F%2Fwww.google.com%2F&frm=0&tiba=Smartphones%2C%20Gadgets%20%26%20Premium%20Accessories%20%7C%20Apple%20Gadgets&did=dY2E1Nz&gdid=dY2E1Nz.dNzQzZD&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1684116898.1775659789&_tu=CA&data=event%3Dpage_view%3Bgoogle_business_vertical%3Dretail%3Bid%3D14594%2C10279%2C8678%2C10487%2C10287%2C14814%2C11822%2C10753%2C8679%2C9716%2C10488%2C15520%2C13950%2C11639%2C15522%2C11511%2C11640%2C11654&gap.gtb=3&gap.gtbd=21&gcp=5-654,50,113,100,117,126,643,89,643,50.000%,.35511,0.21,0.46
/measurement/1p-conversion/-656,50,120,116,127,137,279,104,279,100.000%,.35513,0.21,0.59
/pagead/1p-user-list/677475025/-658,50,73,70,86,91,156,59,156,4.000%,.35540,0.22,0.55
/pagead/1p-user-list/677475025/-657,50,111,107,125,137,172,96,172,82.000%,.35508,0.22,0.55
/g/collect?v=2&tid=G-WXY6NB5V36&gtm=45je6461v9164418146za200zd9164418146&_p=1775661139605&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=1586363381.1775661142&frm=0&lps=1&pscdl=noapi&sr=1536x864&ul=en-us&_s=3&tag_exp=0~115938466~115938469~116991816&sid=1775661141&sct=1&seg=1&dl=https%3A%2F%2Fwww.sumashtech.com%2Fcategory%2Fmac&dr=https%3A%2F%2Fwww.sumashtech.com%2Foffer%2Fkudos-duo-deal&dt=Sumash%20Tech%3A%20Authentic%20Mobile%2C%20Laptop%20%26%20Gadget%20Shop%20in%20BD&en=user_engagement&ep.pageview=false&_et=2675&tfd=36758-881,50,210,200,239,250,373,173,373,100.000%,.35458,0.29,0.37
TOTAL,7300,179,100,239,406,1505,43,36252,48.836%,46.17477,474.46,49.83
"/gen_204?s=web&t=cap&atyp=csi&ei=sXHWaZ6NN82r4-EPwtmlwAE&rt=wsrt.64,hst.2422,cbt.2433&nt=navigate&ts=569986&nhp=http/1.1&ant=push&opi=89978449-894",50,304,302,344,347,365,245,365,100.000%,.50872,0.54,0.30
/gen_204-895,50,135,141,154,158,174,94,174,94.000%,.50962,0.54,0.26
/submit/firefox-desktop/newtab/1/d4fb7466-8572-47a9-94fa-5604ccf33d4c-893,50,579,556,648,689,918,485,918,100.000%,.50732,0.42,2.11
/pagead/1p-conversion/16521530460/-898,50,107,103,123,124,189,92,189,74.000%,.50998,0.27,0.27
"/gen_204?s=web&t=aft&atyp=csi&ei=sXHWaZ6NN82r4-EPwtmlwAE&rt=wsrt.64,hst.2422,cbt.2433,sct.2475,frts.2521,prt.2565,frvt.2671,afti.2679,afts.2521,aftr.2531,aft.2679&nt=navigate&ts=569986&nhp=http/1.1&ant=push&imn=17&dtc=889&stc=248&ima=5&imad=3&imac=0&wh=620&wih=620&dch=620&opi=89978449-897",50,138,142,163,167,180,95,180,90.000%,.51002,0.54,0.37
/pagead/conversion/16521530460/-899,50,228,200,265,408,718,168,718,100.000%,.50964,0.27,0.29
/csp/gws/fff-896,50,226,208,289,309,500,170,500,100.000%,.51078,0.86,0.54
/$rpc/google.internal.onegoogle.asyncdata.v1.AsyncDataService/GetAsyncData-900,50,213,196,253,265,488,164,488,100.000%,.51054,0.42,0.35
/log?format=json&hasfast=true-909,50,209,190,262,274,443,164,443,100.000%,.51039,0.99,0.52
/grass-cs/ABsKjryAzHsC0DCtDgPwdbinwyXUUYJkcGj_yeb5Ht0QPXHsmqfy1ZPIj9dHyh6dU63ZT8r_5IoIswF_hs4Bwxw8Sqohwz8HDietkNTXgmtDy61vr0TF7EUKN_6ySo-goN3dRsMCHGR2=w92-h92-n-k-no-906,50,224,214,261,273,490,172,490,100.000%,.50875,3.41,0.30
"/gen_204?atyp=csi&ei=sXHWaZ6NN82r4-EPwtmlwAE&s=web&t=all&nt=navigate&ts=569986&nhp=http/1.1&ant=push&imn=17&dtc=889&stc=248&ima=5&imad=3&imac=0&wh=620&wih=620&dch=620&thdba=0&thdaa=0&ime=0&imeh=2&imeha=0&imehb=0&imea=0&imeb=0&imel=0&imed=0&imeeb=0&imexb=0&scp=0&fld=720&cb=569686&ucb=569686&lts=569986&adh=&nv=ne.1,feid.e1dedf82-5c4e-40ce-93e3-8b66da287c02&hp=&p=bs.false&rt=hst.2422,cbt.2433,sct.2475,frts.2521,prt.2565,frvt.2671,afti.2679,afts.2521,aftr.2531,aft.2679,dcl.2750,xjspls.2850,xjsls.2851,xjses.3141,xjsee.3247,xjs.3247,fcp.2657,lcp.2657,wsrt.64,cst.0,dnst.0,rqst.2275,rspt.2275,sslt.0,rqstt.64,unt.0,cstt.11,dit.2808&zx=1775661492287&opi=89978449-903",50,141,143,167,168,220,98,220,94.000%,.50924,0.54,0.57
/grass/AKc-QJHqh108cF8hfhQwqWjhtKVdTIjroSIQBw5Vs3Ejk90e8fscf6TZ3K_ts6zfha5Gvf98b4Yu7o8JxC24OV5t6yv8=w92-h92-n-k-no-902,50,80,73,110,118,164,59,164,14.000%,.50938,3.43,0.28
"/xjs/_/js/k=xjs.s.bn.bFcNBaPkbz4.2019.O/ck=xjs.s._w__bMF_k2A.L.F4.O/am=AAACAAAIAgAAAAAAAAAAAIAAAIQAAAAAAAAAAAAACAAAAIAEAAEAAAEAAAAAAAAIAAAAAAAAAAAAAACAAAAAgCAAAgBQAgACEIAAAAAAIAAAAAAAAACg0AcQALwBAAABAADwAGAAQgQAAAAAAAAAIBAgAAAAQAMAAAAAAAAIAIAAACBAAAAABAAAAAADAAMAAAFEggAAAFAAAAAgAAAAAAIAAAAAAAAAAACQRAAAAEICCQAA_m3fgAcAAgAAAAAAAAAAAQAAAAAAAQCAAUkaAAAAAAAAAGHAAgAAAITCAAAgACAIgAAAAAAAABAgAQIACBgAAgAAEAAAAAAAAAAAAAEAggACASAAKAABAQAAAuAAAAAAAAAAAAAIAAAAAAAAAAEEABAQgBBAAAAAAAAgAAAUIAAAAEAOAAAAAAAAAiIAAAAAwDAADABAogAAIQAEBAHAAAAglAEAABQESOAHAEAAAAAAAAAAnAAAAEAIBAAAABAA30cYAQBAAAAAAADkAPB4AIcIDgAAAAAAAAAAAAAAAAAAAAAAAAABWADjQPIDAiAAAAAAAAAAAAAAAAAAAAAAAAAAAABAiqAJAAAAAADAlgCA/d=0/dg=0/br=1/ujg=1/rs=ACT90oH1uP0pt8RDP5yjNvIkeQcZszGPlQ/cb=loaded_h_0/m=syhn,syhm,syhl,syhk,syhj,syhi,syfq,syhh,syh0,sygz,sygo,sygx,syg5,syg6,sygw,sydm,syg4,sygm,sygv,syg9,syga,sygt,syg8,sygs,sygb,syg2,sygl,sygq,sygk,sygp,sygj,sygi,syg7,sygg,sygf,sygd,sygc,sygn,syg3,syfw,syfv,syb6,sy8u,zbML3c,sy3pm,eyerkc,HIrMlc,sy3pv,sy3kb,sy3pu,sy3kh,sy3pt,sy3oc,sy3lc,sy3il,sy3im,sy3ij,sy3ik,sy3h5,sy3h1,sy2ad,sy3ih,MTC8ic,sy3pq,sy2of,sy2co,sy2ax,sy27c,sy27d,sy3po,sy3pn,QFirFb,sy3pl,sy3pk,SFDqk,R2tCtb,sy3px,c4kF1d,sy3py,R03yJc,sy7l9,cHMPWb,syiv,pU86Hd,syix,YdYdy,G7QJm,sy2c0,sy2bz,sy2by,sy2bx,sy2bv,sy2bw,sy2az,sy2c1,sy2ab,sy2bu,sy29n,sy29u,sy29m,sy29q,sy29r,sy29t,sy29s,sy29w,sy2al,sy2ap,sy29z,sy2ah,sy2a2,sy2a4,sy2a6,sy2ag,sy2af,sy2aw,sy2a5,sy2an,sy2bh,sy29b,sy2be,sy2bi,sy29i,sy2b8,sy29f,sy29e,sy2b6,sy2bd,sy2a9,sy2a7,sy2br,sy2bb,sy2ai,sy2aj,sy2ak,sy2a0,sy2b3,sy2bm,sy2bk,sy29y,sy2ba,sy29a,sy2ar,sy299,sy2bl,sy29j,sy2bo,sy162,sy29k,sykb,sy2b0,sy2b1,sy2c3,sy2c4,sy2at,sy298,sy9y,X53Qnb,sy2cc,sy2c7,sy2c9,sy2ca,sy2c6,sy2cb,J8jp6c,sy2dp,sy2do,sy2dq,sy2du,sy1hq,sy2dr,sy2dm,sy2cx,sy2cw,sy2cv,sy2ct,sy2cu,sy18z,sy2cl,sy2cq,sy2cm,sy2cs,sy2ds,sy2dv,sy2dt,sy2da,sy2e0,sy1xn,sy1xk,sy1rp,sy1rq,sy1xl,sy1rr,syka,syk9,sy1xm,sy2dy,sy2dc,sy2dk,sy2d2,sy2de-904",50,188,174,206,217,727,145,727,100.000%,.50884,24.83,1.14
